ID,Pred
2018_1104_1112,0.244
2018_1104_1113,0.5714666666666667
2018_1104_1116,0.29733333333333334
2018_1104_1120,0.848
2018_1104_1137,0.768
2018_1104_1138,0.68
2018_1104_1139,0.5113333333333333
2018_1104_1153,0.1596
2018_1104_1155,0.28506666666666675
2018_1104_1158,0.784
2018_1104_1166,0.46
2018_1104_1168,0.86
2018_1104_1172,0.5901333333333333
2018_1104_1181,0.17466666666666666
2018_1104_1196,0.5062857142857143
2018_1104_1199,0.45466666666666666
2018_1104_1209,0.784
2018_1104_1211,0.21999999999999997
2018_1104_1222,0.3486666666666666
2018_1104_1233,0.7626666666666666
2018_1104_1242,0.212
2018_1104_1243,0.40719999999999995
2018_1104_1246,0.09066666666666667
2018_1104_1252,0.896
2018_1104_1254,0.928
2018_1104_1260,0.56
2018_1104_1267,0.848
2018_1104_1274,0.48133333333333334
2018_1104_1276,0.25066666666666665
2018_1104_1277,0.24666666666666667
2018_1104_1281,0.53
2018_1104_1285,0.712
2018_1104_1293,0.672
2018_1104_1300,0.84
2018_1104_1301,0.4013333333333334
2018_1104_1305,0.294
2018_1104_1308,0.516
2018_1104_1314,0.174
2018_1104_1326,0.344
2018_1104_1328,0.5367999999999999
2018_1104_1335,0.696
2018_1104_1344,0.5712
2018_1104_1345,0.13666666666666666
2018_1104_1347,0.88
2018_1104_1348,0.43266666666666664
2018_1104_1355,0.6986666666666667
2018_1104_1361,0.632
2018_1104_1371,0.3528
2018_1104_1372,0.656
2018_1104_1382,0.712
2018_1104_1393,0.49466666666666664
2018_1104_1395,0.366
2018_1104_1397,0.4266666666666667
2018_1104_1400,0.5453333333333332
2018_1104_1401,0.8166666666666669
2018_1104_1403,0.30933333333333335
2018_1104_1411,0.936
2018_1104_1417,0.614
2018_1104_1420,0.68
2018_1104_1422,0.736
2018_1104_1437,0.12
2018_1104_1438,0.076
2018_1104_1439,0.4433333333333333
2018_1104_1452,0.19319999999999998
2018_1104_1455,0.4106666666666666
2018_1104_1460,0.848
2018_1104_1462,0.174
2018_1112_1113,0.84
2018_1112_1116,0.6497333333333334
2018_1112_1120,0.6954666666666667
2018_1112_1137,0.8
2018_1112_1138,0.684
2018_1112_1139,0.688
2018_1112_1153,0.43933333333333335
2018_1112_1155,0.6346666666666667
2018_1112_1158,0.904
2018_1112_1166,0.7064
2018_1112_1168,0.888
2018_1112_1172,0.78
2018_1112_1181,0.3893333333333333
2018_1112_1196,0.6479999999999999
2018_1112_1199,0.824
2018_1112_1209,0.856
2018_1112_1211,0.394
2018_1112_1222,0.5898666666666667
2018_1112_1233,0.92
2018_1112_1242,0.3973333333333333
2018_1112_1243,0.7433333333333334
2018_1112_1246,0.4702666666666667
2018_1112_1252,0.976
2018_1112_1254,0.992
2018_1112_1260,0.64
2018_1112_1267,0.896
2018_1112_1274,0.7
2018_1112_1276,0.3373333333333334
2018_1112_1277,0.288
2018_1112_1281,0.654
2018_1112_1285,0.8293333333333334
2018_1112_1293,0.84
2018_1112_1300,0.992
2018_1112_1301,0.7
2018_1112_1305,0.6
2018_1112_1308,0.72
2018_1112_1314,0.4013333333333334
2018_1112_1326,0.576
2018_1112_1328,0.6606666666666666
2018_1112_1335,0.912
2018_1112_1344,0.688
2018_1112_1345,0.39173333333333327
2018_1112_1347,0.88
2018_1112_1348,0.5466666666666667
2018_1112_1355,0.776
2018_1112_1361,0.7786666666666666
2018_1112_1371,0.7112
2018_1112_1372,0.912
2018_1112_1382,0.6626666666666667
2018_1112_1393,0.758
