ID,Pred
2018_1104_1112,0.236
2018_1104_1113,0.5
2018_1104_1116,0.204
2018_1104_1120,0.2813333333333333
2018_1104_1137,0.688
2018_1104_1138,0.848
2018_1104_1139,0.4006666666666666
2018_1104_1153,0.18
2018_1104_1155,0.324
2018_1104_1158,0.832
2018_1104_1166,0.35786666666666667
2018_1104_1168,0.84
2018_1104_1172,0.6272000000000001
2018_1104_1181,0.104
2018_1104_1196,0.4724380952380952
2018_1104_1199,0.422
2018_1104_1209,0.84
2018_1104_1211,0.256
2018_1104_1222,0.408
2018_1104_1233,0.744
2018_1104_1242,0.15146666666666667
2018_1104_1243,0.4174666666666667
2018_1104_1246,0.136
2018_1104_1252,0.912
2018_1104_1254,0.904
2018_1104_1260,0.728
2018_1104_1267,0.896
2018_1104_1274,0.416
2018_1104_1276,0.244
2018_1104_1277,0.2056
2018_1104_1281,0.23733333333333334
2018_1104_1285,0.784
2018_1104_1293,0.6586666666666666
2018_1104_1300,0.848
2018_1104_1301,0.5287999999999999
2018_1104_1305,0.376
2018_1104_1308,0.52
2018_1104_1314,0.174
2018_1104_1326,0.25866666666666666
2018_1104_1328,0.8153333333333334
2018_1104_1335,0.668
2018_1104_1344,0.45066666666666666
2018_1104_1345,0.116
2018_1104_1347,0.864
2018_1104_1348,0.604
2018_1104_1355,0.688
2018_1104_1361,0.6768
2018_1104_1371,0.3733333333333333
2018_1104_1372,0.816
2018_1104_1382,0.6586666666666666
2018_1104_1393,0.5073333333333334
2018_1104_1395,0.3645333333333334
2018_1104_1397,0.378
2018_1104_1400,0.176
2018_1104_1401,0.7827047619047618
2018_1104_1403,0.26533333333333337
2018_1104_1411,0.984
2018_1104_1417,0.612
2018_1104_1420,0.832
2018_1104_1422,0.664
2018_1104_1437,0.056
2018_1104_1438,0.07253333333333332
2018_1104_1439,0.3853333333333333
2018_1104_1452,0.188
2018_1104_1455,0.362
2018_1104_1460,0.832
2018_1104_1462,0.14533333333333334
2018_1112_1113,0.8613333333333334
2018_1112_1116,0.648
2018_1112_1120,0.48200000000000004
2018_1112_1137,0.7888
2018_1112_1138,0.752
2018_1112_1139,0.5973333333333333
2018_1112_1153,0.47866666666666663
2018_1112_1155,0.5453333333333332
2018_1112_1158,0.92
2018_1112_1166,0.7682666666666668
2018_1112_1168,0.92
2018_1112_1172,0.768
2018_1112_1181,0.36799999999999994
2018_1112_1196,0.6026666666666668
2018_1112_1199,0.6656
2018_1112_1209,0.912
2018_1112_1211,0.344
2018_1112_1222,0.5386666666666666
2018_1112_1233,0.96
2018_1112_1242,0.4313333333333333
2018_1112_1243,0.732
2018_1112_1246,0.3933333333333333
2018_1112_1252,0.96
2018_1112_1254,0.984
2018_1112_1260,0.69
2018_1112_1267,0.904
2018_1112_1274,0.608
2018_1112_1276,0.416
2018_1112_1277,0.30933333333333335
2018_1112_1281,0.652
2018_1112_1285,0.8013333333333333
2018_1112_1293,0.848
2018_1112_1300,0.9743999999999999
2018_1112_1301,0.7353333333333334
2018_1112_1305,0.4828
2018_1112_1308,0.752
2018_1112_1314,0.452
2018_1112_1326,0.44133333333333336
2018_1112_1328,0.7632000000000001
2018_1112_1335,0.848
2018_1112_1344,0.732
2018_1112_1345,0.3653333333333334
2018_1112_1347,0.88
2018_1112_1348,0.6282666666666668
2018_1112_1355,0.76
2018_1112_1361,0.6527999999999999
2018_1112_1371,0.6975238095238094
